Date,Sales
2025-01-01,97.5
2025-01-02,101.6
2025-01-03,102.9
2025-01-04,113.9
2025-01-05,112.0
2025-01-06,101.2
2025-01-07,105.5
2025-01-08,104.1
2025-01-09,107.9
2025-01-10,109.5
2025-01-11,117.3
2025-01-12,120.8
2025-01-13,112.0
2025-01-14,107.1
2025-01-15,103.9
2025-01-16,105.7
2025-01-17,109.7
2025-01-18,120.1
2025-01-19,115.2
2025-01-20,107.2
2025-01-21,105.9
2025-01-22,98.5
2025-01-23,105.1
2025-01-24,107.6
2025-01-25,115.7
2025-01-26,111.6
2025-01-27,106.8
2025-01-28,103.4
2025-01-29,105.5
2025-01-30,102.3
2025-01-31,108.7
2025-02-01,109.1
2025-02-02,106.0
2025-02-03,106.9
2025-02-04,103.8
2025-02-05,111.1
2025-02-06,114.5
2025-02-07,109.1
2025-02-08,124.5
2025-02-09,119.2
2025-02-10,116.6
2025-02-11,113.9
2025-02-12,116.4
2025-02-13,122.8
2025-02-14,123.0
2025-02-15,129.7
2025-02-16,131.3
2025-02-17,124.1
2025-02-18,117.6
2025-02-19,117.4
2025-02-20,121.3
2025-02-21,124.6
2025-02-22,128.8
2025-02-23,137.5
2025-02-24,119.1
2025-02-25,114.7
2025-02-26,120.7
2025-02-27,125.6
2025-02-28,121.9
2025-03-01,129.6
2025-03-02,131.3
2025-03-03,118.6
2025-03-04,110.8
2025-03-05,113.8
2025-03-06,122.0
2025-03-07,113.8
2025-03-08,126.2
2025-03-09,127.4
2025-03-10,119.0
2025-03-11,120.3
2025-03-12,120.6
2025-03-13,130.6
2025-03-14,125.7
2025-03-15,129.5
2025-03-16,130.8
2025-03-17,124.0
2025-03-18,128.4
2025-03-19,124.3
2025-03-20,130.2
2025-03-21,134.1
2025-03-22,136.9
2025-03-23,139.3
2025-03-24,127.7
2025-03-25,128.0
2025-03-26,130.4
2025-03-27,137.2
2025-03-28,140.2
2025-03-29,143.1
2025-03-30,144.0
2025-03-31,136.6
2025-04-01,136.5
2025-04-02,135.6
2025-04-03,136.0
2025-04-04,131.0
2025-04-05,144.3
2025-04-06,142.0
2025-04-07,137.5
2025-04-08,129.6
2025-04-09,136.2
2025-04-10,130.8
2025-04-11,137.5
2025-04-12,139.2
2025-04-13,137.1
2025-04-14,128.1
2025-04-15,128.9
2025-04-16,134.9
2025-04-17,136.3
2025-04-18,136.6
2025-04-19,133.7
2025-04-20,145.5
2025-04-21,139.0
2025-04-22,133.2
2025-04-23,134.1
2025-04-24,140.5
2025-04-25,147.7
2025-04-26,146.1
2025-04-27,149.4
2025-04-28,149.7
2025-04-29,141.4
2025-04-30,142.5
2025-05-01,147.9
2025-05-02,143.8
2025-05-03,156.5
2025-05-04,151.8
2025-05-05,152.3
2025-05-06,146.3
2025-05-07,154.3
2025-05-08,150.1
2025-05-09,153.6
2025-05-10,150.9
